r(m),T(K)
0.00000e+00,1.01130e+04
5.00000e-06,1.01130e+04
1.00000e-05,1.01129e+04
1.50000e-05,1.01129e+04
2.00000e-05,1.01128e+04
2.50000e-05,1.01127e+04
3.00000e-05,1.01127e+04
3.50000e-05,1.01126e+04
4.00000e-05,1.01126e+04
4.50000e-05,1.01125e+04
5.00000e-05,1.01125e+04
5.50000e-05,1.01124e+04
6.00000e-05,1.01123e+04
6.50000e-05,1.01123e+04
7.00000e-05,1.01122e+04
7.50000e-05,1.01122e+04
8.00000e-05,1.01121e+04
8.50000e-05,1.01120e+04
9.00000e-05,1.01120e+04
9.50000e-05,1.01119e+04
1.00000e-04,1.01118e+04
1.05000e-04,1.01118e+04
1.10000e-04,1.01117e+04
1.15000e-04,1.01116e+04
1.20000e-04,1.01116e+04
1.25000e-04,1.01115e+04
1.30000e-04,1.01114e+04
1.35000e-04,1.01114e+04
1.40000e-04,1.01113e+04
1.45000e-04,1.01112e+04
1.50000e-04,1.01111e+04
1.55000e-04,1.01111e+04
1.60000e-04,1.01110e+04
1.65000e-04,1.01109e+04
1.70000e-04,1.01108e+04
1.75000e-04,1.01108e+04
1.80000e-04,1.01107e+04
1.85000e-04,1.01106e+04
1.90000e-04,1.01105e+04
1.95000e-04,1.01104e+04
2.00000e-04,1.01104e+04
2.05000e-04,1.01103e+04
2.10000e-04,1.01102e+04
2.15000e-04,1.01101e+04
2.20000e-04,1.01100e+04
2.25000e-04,1.01100e+04
2.30000e-04,1.01099e+04
2.35000e-04,1.01098e+04
2.40000e-04,1.01097e+04
2.45000e-04,1.01096e+04
2.50000e-04,1.01095e+04
2.55000e-04,1.01094e+04
2.60000e-04,1.01093e+04
2.65000e-04,1.01092e+04
2.70000e-04,1.01092e+04
2.75000e-04,1.01091e+04
2.80000e-04,1.01090e+04
2.85000e-04,1.01089e+04
2.90000e-04,1.01088e+04
2.95000e-04,1.01087e+04
3.00000e-04,1.01086e+04
3.05000e-04,1.01085e+04
3.10000e-04,1.01084e+04
3.15000e-04,1.01083e+04
3.20000e-04,1.01082e+04
3.25000e-04,1.01081e+04
3.30000e-04,1.01080e+04
3.35000e-04,1.01079e+04
3.40000e-04,1.01078e+04
3.45000e-04,1.01077e+04
3.50000e-04,1.01076e+04
3.55000e-04,1.01075e+04
3.60000e-04,1.01074e+04
3.65000e-04,1.01073e+04
3.70000e-04,1.01072e+04
3.75000e-04,1.01071e+04
3.80000e-04,1.01070e+04
3.85000e-04,1.01069e+04
3.90000e-04,1.01068e+04
3.95000e-04,1.01066e+04
4.00000e-04,1.01065e+04
4.05000e-04,1.01064e+04
4.10000e-04,1.01063e+04
4.15000e-04,1.01062e+04
4.20000e-04,1.01061e+04
4.25000e-04,1.01060e+04
4.30000e-04,1.01058e+04
4.35000e-04,1.01057e+04
4.40000e-04,1.01056e+04
4.45000e-04,1.01055e+04
4.50000e-04,1.01054e+04
4.55000e-04,1.01053e+04
4.60000e-04,1.01051e+04
4.65000e-04,1.01050e+04
4.70000e-04,1.01049e+04
4.75000e-04,1.01048e+04
4.80000e-04,1.01046e+04
4.85000e-04,1.01045e+04
4.90000e-04,1.01044e+04
4.95000e-04,1.01043e+04
5.00000e-04,1.01041e+04
5.05000e-04,1.01040e+04
5.10000e-04,1.01039e+04
5.15000e-04,1.01038e+04
5.20000e-04,1.01036e+04
5.25000e-04,1.01035e+04
5.30000e-04,1.01034e+04
5.35000e-04,1.01032e+04
5.40000e-04,1.01031e+04
5.45000e-04,1.01030e+04
5.50000e-04,1.01028e+04
5.55000e-04,1.01027e+04
5.60000e-04,1.01026e+04
5.65000e-04,1.01024e+04
5.70000e-04,1.01023e+04
5.75000e-04,1.01021e+04
5.80000e-04,1.01020e+04
5.85000e-04,1.01019e+04
5.90000e-04,1.01017e+04
5.95000e-04,1.01016e+04
6.00000e-04,1.01014e+04
6.05000e-04,1.01013e+04
6.10000e-04,1.01011e+04
6.15000e-04,1.01010e+04
6.20000e-04,1.01009e+04
6.25000e-04,1.01007e+04
6.30000e-04,1.01006e+04
6.35000e-04,1.01004e+04
6.40000e-04,1.01003e+04
6.45000e-04,1.01001e+04
6.50000e-04,1.01000e+04
6.55000e-04,1.00998e+04
6.60000e-04,1.00996e+04
6.65000e-04,1.00995e+04
6.70000e-04,1.00993e+04
6.75000e-04,1.00992e+04
6.80000e-04,1.00990e+04
6.85000e-04,1.00989e+04
6.90000e-04,1.00987e+04
6.95000e-04,1.00985e+04
7.00000e-04,1.00984e+04
7.05000e-04,1.00982e+04
7.10000e-04,1.00980e+04
7.15000e-04,1.00979e+04
7.20000e-04,1.00977e+04
7.25000e-04,1.00976e+04
7.30000e-04,1.00974e+04
7.35000e-04,1.00972e+04
7.40000e-04,1.00970e+04
7.45000e-04,1.00969e+04
7.50000e-04,1.00967e+04
7.55000e-04,1.00965e+04
7.60000e-04,1.00964e+04
7.65000e-04,1.00962e+04
7.70000e-04,1.00960e+04
7.75000e-04,1.00958e+04
7.80000e-04,1.00957e+04
7.85000e-04,1.00955e+04
7.90000e-04,1.00953e+04
7.95000e-04,1.00951e+04
8.00000e-04,1.00950e+04
8.05000e-04,1.00948e+04
8.10000e-04,1.00946e+04
8.15000e-04,1.00944e+04
8.20000e-04,1.00942e+04
8.25000e-04,1.00940e+04
8.30000e-04,1.00939e+04
8.35000e-04,1.00937e+04
8.40000e-04,1.00935e+04
8.45000e-04,1.00933e+04
8.50000e-04,1.00931e+04
8.55000e-04,1.00929e+04
8.60000e-04,1.00927e+04
8.65000e-04,1.00925e+04
8.70000e-04,1.00923e+04
8.75000e-04,1.00922e+04
8.80000e-04,1.00920e+04
8.85000e-04,1.00918e+04
8.90000e-04,1.00916e+04
8.95000e-04,1.00914e+04
9.00000e-04,1.00912e+04
9.05000e-04,1.00910e+04
9.10000e-04,1.00908e+04
9.15000e-04,1.00906e+04
9.20000e-04,1.00904e+04
9.25000e-04,1.00902e+04
9.30000e-04,1.00900e+04
9.35000e-04,1.00898e+04
9.40000e-04,1.00896e+04
9.45000e-04,1.00893e+04
9.50000e-04,1.00891e+04
9.55000e-04,1.00889e+04
9.60000e-04,1.00887e+04
9.65000e-04,1.00885e+04
9.70000e-04,1.00883e+04
9.75000e-04,1.00881e+04
9.80000e-04,1.00879e+04
9.85000e-04,1.00877e+04
9.90000e-04,1.00874e+04
9.95000e-04,1.00872e+04
1.00000e-03,1.00870e+04
1.00500e-03,1.00868e+04
1.01000e-03,1.00866e+04
1.01500e-03,1.00863e+04
1.02000e-03,1.00861e+04
1.02500e-03,1.00859e+04
1.03000e-03,1.00857e+04
1.03500e-03,1.00854e+04
1.04000e-03,1.00852e+04
1.04500e-03,1.00850e+04
1.05000e-03,1.00848e+04
1.05500e-03,1.00845e+04
1.06000e-03,1.00843e+04
1.06500e-03,1.00841e+04
1.07000e-03,1.00838e+04
1.07500e-03,1.00836e+04
1.08000e-03,1.00834e+04
1.08500e-03,1.00831e+04
1.09000e-03,1.00829e+04
1.09500e-03,1.00826e+04
1.10000e-03,1.00824e+04
1.10500e-03,1.00822e+04
1.11000e-03,1.00819e+04
1.11500e-03,1.00817e+04
1.12000e-03,1.00814e+04
1.12500e-03,1.00812e+04
1.13000e-03,1.00809e+04
1.13500e-03,1.00807e+04
1.14000e-03,1.00804e+04
1.14500e-03,1.00802e+04
1.15000e-03,1.00799e+04
1.15500e-03,1.00797e+04
1.16000e-03,1.00794e+04
1.16500e-03,1.00792e+04
1.17000e-03,1.00789e+04
1.17500e-03,1.00787e+04
1.18000e-03,1.00784e+04
1.18500e-03,1.00782e+04
1.19000e-03,1.00779e+04
1.19500e-03,1.00776e+04
1.20000e-03,1.00774e+04
1.20500e-03,1.00771e+04
1.21000e-03,1.00768e+04
1.21500e-03,1.00766e+04
1.22000e-03,1.00763e+04
1.22500e-03,1.00760e+04
1.23000e-03,1.00758e+04
1.23500e-03,1.00755e+04
1.24000e-03,1.00752e+04
1.24500e-03,1.00750e+04
1.25000e-03,1.00747e+04
1.25500e-03,1.00744e+04
1.26000e-03,1.00741e+04
1.26500e-03,1.00739e+04
1.27000e-03,1.00736e+04
1.27500e-03,1.00733e+04
1.28000e-03,1.00730e+04
1.28500e-03,1.00727e+04
1.29000e-03,1.00725e+04
1.29500e-03,1.00722e+04
1.30000e-03,1.00719e+04
1.30500e-03,1.00716e+04
1.31000e-03,1.00713e+04
1.31500e-03,1.00710e+04
1.32000e-03,1.00707e+04
1.32500e-03,1.00704e+04
1.33000e-03,1.00701e+04
1.33500e-03,1.00698e+04
1.34000e-03,1.00695e+04
1.34500e-03,1.00693e+04
1.35000e-03,1.00690e+04
1.35500e-03,1.00687e+04
1.36000e-03,1.00683e+04
1.36500e-03,1.00680e+04
1.37000e-03,1.00677e+04
1.37500e-03,1.00674e+04
1.38000e-03,1.00671e+04
1.38500e-03,1.00668e+04
1.39000e-03,1.00665e+04
1.39500e-03,1.00662e+04
1.40000e-03,1.00659e+04
1.40500e-03,1.00656e+04
1.41000e-03,1.00653e+04
1.41500e-03,1.00649e+04
1.42000e-03,1.00646e+04
1.42500e-03,1.00643e+04
1.43000e-03,1.00640e+04
1.43500e-03,1.00637e+04
1.44000e-03,1.00633e+04
1.44500e-03,1.00630e+04
1.45000e-03,1.00627e+04
1.45500e-03,1.00624e+04
1.46000e-03,1.00620e+04
1.46500e-03,1.00617e+04
1.47000e-03,1.00614e+04
1.47500e-03,1.00611e+04
1.48000e-03,1.00607e+04
1.48500e-03,1.00604e+04
1.49000e-03,1.00601e+04
1.49500e-03,1.00597e+04
1.50000e-03,1.00594e+04
1.50500e-03,1.00590e+04
1.51000e-03,1.00587e+04
1.51500e-03,1.00584e+04
1.52000e-03,1.00580e+04
1.52500e-03,1.00577e+04
1.53000e-03,1.00573e+04
1.53500e-03,1.00570e+04
1.54000e-03,1.00566e+04
1.54500e-03,1.00563e+04
1.55000e-03,1.00559e+04
1.55500e-03,1.00556e+04
1.56000e-03,1.00552e+04
1.56500e-03,1.00549e+04
1.57000e-03,1.00545e+04
1.57500e-03,1.00541e+04
1.58000e-03,1.00538e+04
1.58500e-03,1.00534e+04
1.59000e-03,1.00531e+04
1.59500e-03,1.00527e+04
1.60000e-03,1.00523e+04
1.60500e-03,1.00520e+04
1.61000e-03,1.00516e+04
1.61500e-03,1.00512e+04
1.62000e-03,1.00508e+04
1.62500e-03,1.00505e+04
1.63000e-03,1.00501e+04
1.63500e-03,1.00497e+04
1.64000e-03,1.00493e+04
1.64500e-03,1.00490e+04
1.65000e-03,1.00486e+04
1.65500e-03,1.00482e+04
1.66000e-03,1.00478e+04
1.66500e-03,1.00474e+04
1.67000e-03,1.00470e+04
1.67500e-03,1.00467e+04
1.68000e-03,1.00463e+04
1.68500e-03,1.00459e+04
1.69000e-03,1.00455e+04
1.69500e-03,1.00451e+04
1.70000e-03,1.00447e+04
1.70500e-03,1.00443e+04
1.71000e-03,1.00439e+04
1.71500e-03,1.00435e+04
1.72000e-03,1.00431e+04
1.72500e-03,1.00427e+04
1.73000e-03,1.00423e+04
1.73500e-03,1.00419e+04
1.74000e-03,1.00415e+04
1.74500e-03,1.00411e+04
1.75000e-03,1.00406e+04
1.75500e-03,1.00402e+04
1.76000e-03,1.00398e+04
1.76500e-03,1.00394e+04
1.77000e-03,1.00390e+04
1.77500e-03,1.00386e+04
1.78000e-03,1.00381e+04
1.78500e-03,1.00377e+04
1.79000e-03,1.00373e+04
1.79500e-03,1.00369e+04
1.80000e-03,1.00364e+04
1.80500e-03,1.00360e+04
1.81000e-03,1.00356e+04
1.81500e-03,1.00351e+04
1.82000e-03,1.00347e+04
1.82500e-03,1.00343e+04
1.83000e-03,1.00338e+04
1.83500e-03,1.00334e+04
1.84000e-03,1.00329e+04
1.84500e-03,1.00325e+04
1.85000e-03,1.00321e+04
1.85500e-03,1.00316e+04
1.86000e-03,1.00312e+04
1.86500e-03,1.00307e+04
1.87000e-03,1.00303e+04
1.87500e-03,1.00298e+04
1.88000e-03,1.00293e+04
1.88500e-03,1.00289e+04
1.89000e-03,1.00284e+04
1.89500e-03,1.00280e+04
1.90000e-03,1.00275e+04
1.90500e-03,1.00270e+04
1.91000e-03,1.00266e+04
1.91500e-03,1.00261e+04
1.92000e-03,1.00256e+04
1.92500e-03,1.00252e+04
1.93000e-03,1.00247e+04
1.93500e-03,1.00242e+04
1.94000e-03,1.00237e+04
1.94500e-03,1.00233e+04
1.95000e-03,1.00228e+04
1.95500e-03,1.00223e+04
1.96000e-03,1.00218e+04
1.96500e-03,1.00213e+04
1.97000e-03,1.00208e+04
1.97500e-03,1.00203e+04
1.98000e-03,1.00199e+04
1.98500e-03,1.00194e+04
1.99000e-03,1.00189e+04
1.99500e-03,1.00184e+04
2.00000e-03,1.00179e+04
2.00500e-03,1.00174e+04
2.01000e-03,1.00169e+04
2.01500e-03,1.00164e+04
2.02000e-03,1.00159e+04
2.02500e-03,1.00153e+04
2.03000e-03,1.00148e+04
2.03500e-03,1.00143e+04
2.04000e-03,1.00138e+04
2.04500e-03,1.00133e+04
2.05000e-03,1.00128e+04
2.05500e-03,1.00123e+04
2.06000e-03,1.00117e+04
2.06500e-03,1.00112e+04
2.07000e-03,1.00107e+04
2.07500e-03,1.00102e+04
2.08000e-03,1.00096e+04
2.08500e-03,1.00091e+04
2.09000e-03,1.00086e+04
2.09500e-03,1.00080e+04
2.10000e-03,1.00075e+04
2.10500e-03,1.00070e+04
2.11000e-03,1.00064e+04
2.11500e-03,1.00059e+04
2.12000e-03,1.00053e+04
2.12500e-03,1.00048e+04
2.13000e-03,1.00042e+04
2.13500e-03,1.00037e+04
2.14000e-03,1.00031e+04
2.14500e-03,1.00026e+04
2.15000e-03,1.00020e+04
2.15500e-03,1.00014e+04
2.16000e-03,1.00009e+04
2.16500e-03,1.00003e+04
2.17000e-03,9.99975e+03
2.17500e-03,9.99919e+03
2.18000e-03,9.99862e+03
2.18500e-03,9.99804e+03
2.19000e-03,9.99747e+03
2.19500e-03,9.99689e+03
2.20000e-03,9.99631e+03
2.20500e-03,9.99573e+03
2.21000e-03,9.99515e+03
2.21500e-03,9.99456e+03
2.22000e-03,9.99398e+03
2.22500e-03,9.99339e+03
2.23000e-03,9.99279e+03
2.23500e-03,9.99220e+03
2.24000e-03,9.99160e+03
2.24500e-03,9.99101e+03
2.25000e-03,9.99040e+03
2.25500e-03,9.98980e+03
2.26000e-03,9.98920e+03
2.26500e-03,9.98859e+03
2.27000e-03,9.98798e+03
2.27500e-03,9.98737e+03
2.28000e-03,9.98675e+03
2.28500e-03,9.98614e+03
2.29000e-03,9.98552e+03
2.29500e-03,9.98490e+03
2.30000e-03,9.98427e+03
2.30500e-03,9.98365e+03
2.31000e-03,9.98302e+03
2.31500e-03,9.98239e+03
2.32000e-03,9.98176e+03
2.32500e-03,9.98112e+03
2.33000e-03,9.98048e+03
2.33500e-03,9.97984e+03
2.34000e-03,9.97920e+03
2.34500e-03,9.97856e+03
2.35000e-03,9.97791e+03
2.35500e-03,9.97726e+03
2.36000e-03,9.97661e+03
2.36500e-03,9.97595e+03
2.37000e-03,9.97530e+03
2.37500e-03,9.97464e+03
2.38000e-03,9.97398e+03
2.38500e-03,9.97331e+03
2.39000e-03,9.97265e+03
2.39500e-03,9.97198e+03
2.40000e-03,9.97131e+03
2.40500e-03,9.97064e+03
2.41000e-03,9.96996e+03
2.41500e-03,9.96928e+03
2.42000e-03,9.96860e+03
2.42500e-03,9.96792e+03
2.43000e-03,9.96723e+03
2.43500e-03,9.96655e+03
2.44000e-03,9.96586e+03
2.44500e-03,9.96516e+03
2.45000e-03,9.96447e+03
2.45500e-03,9.96377e+03
2.46000e-03,9.96307e+03
2.46500e-03,9.96237e+03
2.47000e-03,9.96166e+03
2.47500e-03,9.96095e+03
2.48000e-03,9.96024e+03
2.48500e-03,9.95953e+03
2.49000e-03,9.95882e+03
2.49500e-03,9.95810e+03
2.50000e-03,9.95738e+03
2.50500e-03,9.95665e+03
2.51000e-03,9.95593e+03
2.51500e-03,9.95520e+03
2.52000e-03,9.95447e+03
2.52500e-03,9.95374e+03
2.53000e-03,9.95300e+03
2.53500e-03,9.95226e+03
2.54000e-03,9.95152e+03
2.54500e-03,9.95078e+03
2.55000e-03,9.95003e+03
2.55500e-03,9.94928e+03
2.56000e-03,9.94853e+03
2.56500e-03,9.94777e+03
2.57000e-03,9.94702e+03
2.57500e-03,9.94626e+03
2.58000e-03,9.94549e+03
2.58500e-03,9.94473e+03
2.59000e-03,9.94396e+03
2.59500e-03,9.94319e+03
2.60000e-03,9.94241e+03
2.60500e-03,9.94164e+03
2.61000e-03,9.94086e+03
2.61500e-03,9.94007e+03
2.62000e-03,9.93929e+03
2.62500e-03,9.93850e+03
2.63000e-03,9.93771e+03
2.63500e-03,9.93692e+03
2.64000e-03,9.93612e+03
2.64500e-03,9.93532e+03
2.65000e-03,9.93452e+03
2.65500e-03,9.93371e+03
2.66000e-03,9.93290e+03
2.66500e-03,9.93209e+03
2.67000e-03,9.93128e+03
2.67500e-03,9.93046e+03
2.68000e-03,9.92964e+03
2.68500e-03,9.92882e+03
2.69000e-03,9.92800e+03
2.69500e-03,9.92717e+03
2.70000e-03,9.92634e+03
2.70500e-03,9.92550e+03
2.71000e-03,9.92466e+03
2.71500e-03,9.92382e+03
2.72000e-03,9.92298e+03
2.72500e-03,9.92213e+03
2.73000e-03,9.92128e+03
2.73500e-03,9.92043e+03
2.74000e-03,9.91958e+03
2.74500e-03,9.91872e+03
2.75000e-03,9.91786e+03
2.75500e-03,9.91699e+03
2.76000e-03,9.91612e+03
2.76500e-03,9.91525e+03
2.77000e-03,9.91438e+03
2.77500e-03,9.91350e+03
2.78000e-03,9.91262e+03
2.78500e-03,9.91174e+03
2.79000e-03,9.91085e+03
2.79500e-03,9.90996e+03
2.80000e-03,9.90907e+03
2.80500e-03,9.90817e+03
2.81000e-03,9.90728e+03
2.81500e-03,9.90637e+03
2.82000e-03,9.90547e+03
2.82500e-03,9.90456e+03
2.83000e-03,9.90365e+03
2.83500e-03,9.90273e+03
2.84000e-03,9.90181e+03
2.84500e-03,9.90089e+03
2.85000e-03,9.89996e+03
2.85500e-03,9.89904e+03
2.86000e-03,9.89810e+03
2.86500e-03,9.89717e+03
2.87000e-03,9.89623e+03
2.87500e-03,9.89529e+03
2.88000e-03,9.89434e+03
2.88500e-03,9.89339e+03
2.89000e-03,9.89244e+03
2.89500e-03,9.89148e+03
2.90000e-03,9.89053e+03
2.90500e-03,9.88956e+03
2.91000e-03,9.88860e+03
2.91500e-03,9.88763e+03
2.92000e-03,9.88666e+03
2.92500e-03,9.88568e+03
2.93000e-03,9.88470e+03
2.93500e-03,9.88372e+03
2.94000e-03,9.88273e+03
2.94500e-03,9.88174e+03
2.95000e-03,9.88075e+03
2.95500e-03,9.87975e+03
2.96000e-03,9.87875e+03
2.96500e-03,9.87775e+03
2.97000e-03,9.87674e+03
2.97500e-03,9.87573e+03
2.98000e-03,9.87471e+03
2.98500e-03,9.87370e+03
2.99000e-03,9.87267e+03
2.99500e-03,9.87165e+03
3.00000e-03,9.87062e+03
3.00500e-03,9.86959e+03
3.01000e-03,9.86855e+03
3.01500e-03,9.86751e+03
3.02000e-03,9.86647e+03
3.02500e-03,9.86542e+03
3.03000e-03,9.86437e+03
3.03500e-03,9.86331e+03
3.04000e-03,9.86226e+03
3.04500e-03,9.86119e+03
3.05000e-03,9.86013e+03
3.05500e-03,9.85906e+03
3.06000e-03,9.85799e+03
3.06500e-03,9.85691e+03
3.07000e-03,9.85583e+03
3.07500e-03,9.85474e+03
3.08000e-03,9.85365e+03
3.08500e-03,9.85256e+03
3.09000e-03,9.85147e+03
3.09500e-03,9.85037e+03
3.10000e-03,9.84926e+03
3.10500e-03,9.84815e+03
3.11000e-03,9.84704e+03
3.11500e-03,9.84593e+03
3.12000e-03,9.84481e+03
3.12500e-03,9.84369e+03
3.13000e-03,9.84256e+03
3.13500e-03,9.84143e+03
3.14000e-03,9.84029e+03
3.14500e-03,9.83915e+03
3.15000e-03,9.83801e+03
3.15500e-03,9.83686e+03
3.16000e-03,9.83571e+03
3.16500e-03,9.83456e+03
3.17000e-03,9.83340e+03
3.17500e-03,9.83223e+03
3.18000e-03,9.83106e+03
3.18500e-03,9.82989e+03
3.19000e-03,9.82872e+03
3.19500e-03,9.82754e+03
3.20000e-03,9.82635e+03
3.20500e-03,9.82516e+03
3.21000e-03,9.82397e+03
3.21500e-03,9.82277e+03
3.22000e-03,9.82157e+03
3.22500e-03,9.82037e+03
3.23000e-03,9.81916e+03
3.23500e-03,9.81794e+03
3.24000e-03,9.81673e+03
3.24500e-03,9.81550e+03
3.25000e-03,9.81428e+03
3.25500e-03,9.81304e+03
3.26000e-03,9.81181e+03
3.26500e-03,9.81057e+03
3.27000e-03,9.80933e+03
3.27500e-03,9.80808e+03
3.28000e-03,9.80682e+03
3.28500e-03,9.80557e+03
3.29000e-03,9.80430e+03
3.29500e-03,9.80304e+03
3.30000e-03,9.80177e+03
3.30500e-03,9.80049e+03
3.31000e-03,9.79921e+03
3.31500e-03,9.79793e+03
3.32000e-03,9.79664e+03
3.32500e-03,9.79535e+03
